RESULTADO AO FIM DE 1H
Arvore 1
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 20 93 9 7
4 15 86 17 12
4 16 97 9 16
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 17 85 18 18
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1952, 261, 246)

Arvore 2
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 17 77 22 19
3 20 93 9 7
4 15 86 17 12
4 16 97 9 16
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1944, 265, 247)

RESULTADO AO FIM DE 2H
Arvore 1
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 20 93 9 7
4 15 86 17 12
4 16 97 9 16
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 17 85 18 18
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1952, 261, 246)

Arvore 2
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 17 77 22 19
3 20 93 9 7
4 15 86 17 12
4 16 97 9 16
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1944, 265, 247)

Arvore 3
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 20 93 9 7
4 15 86 17 12
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 17 85 18 18
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
11 21 94 12 17
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1949, 264, 247)

RESULTADO AO FIM DE 3H
TEMPO LIMITE ATINGIDO...
Arvore 1
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 20 93 9 7
4 15 86 17 12
4 16 97 9 16
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 17 85 18 18
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1952, 261, 246)

Arvore 2
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 17 77 22 19
3 20 93 9 7
4 15 86 17 12
4 16 97 9 16
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1944, 265, 247)

Arvore 3
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 20 93 9 7
4 15 86 17 12
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 17 85 18 18
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
11 21 94 12 17
12 20 93 13 10
13 14 91 11 12
16 21 92 16 15
18 19 92 7 10
(1949, 264, 247)

Arvore 4
0 11 90 18 10
1 4 90 18 8
2 16 96 13 12
3 15 98 4 2
3 20 93 9 7
4 15 86 17 12
4 16 97 9 16
5 12 96 14 13
6 20 98 11 3
7 10 86 17 25
7 15 99 5 13
7 19 93 7 9
8 17 85 18 18
8 20 95 5 12
9 14 87 24 11
9 20 98 12 15
11 18 97 13 13
11 21 94 12 17
12 20 93 13 10
13 14 91 11 12
18 19 92 7 10
(1954, 257, 248)

