Fim da primeira fase ... 
0.01
Fim da segunda fase ... 
36260
362.6
Total: 362.61
Suportadas = 56
Nao suportadas = 137
TOTAL DE SOLUCOES = 193

SUPORTADAS: 

Arvore 1
0 2 0 97
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
11 21 3 18
3 27 3 20
12 16 3 24
4 25 3 25
4 31 3 25
39 44 3 27
27 39 3 28
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
9 35 4 11
24 42 4 12
2 38 4 13
21 42 4 15
30 33 4 16
13 33 4 18
17 31 4 18
6 13 4 21
4 37 4 23
12 40 4 23
19 30 4 23
23 39 5 4
12 22 5 6
9 27 5 7
14 43 5 11
8 15 5 18
13 18 5 21
12 32 5 25
24 41 5 25
7 36 5 28
(162 740)

Arvore 2
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
11 21 3 18
3 27 3 20
12 16 3 24
4 25 3 25
4 31 3 25
39 44 3 27
5 27 4 7
26 31 4 7
27 39 3 28
36 43 4 8
25 28 4 9
9 35 4 11
24 42 4 12
2 38 4 13
0 2 0 97
21 42 4 15
30 33 4 16
13 33 4 18
17 31 4 18
6 13 4 21
4 37 4 23
12 40 4 23
19 30 4 23
23 39 5 4
12 22 5 6
9 27 5 7
14 43 5 11
8 15 5 18
13 18 5 21
6 41 6 4
12 32 5 25
7 36 5 28
(163 719)

Arvore 3
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
11 21 3 18
3 27 3 20
12 16 3 24
4 25 3 25
4 31 3 25
39 44 3 27
5 27 4 7
26 31 4 7
27 39 3 28
36 43 4 8
25 28 4 9
9 35 4 11
24 42 4 12
2 38 4 13
21 42 4 15
38 43 4 15
30 33 4 16
13 33 4 18
17 31 4 18
6 13 4 21
4 37 4 23
12 40 4 23
19 30 4 23
23 39 5 4
12 22 5 6
9 27 5 7
14 43 5 11
8 15 5 18
13 18 5 21
6 41 6 4
12 32 5 25
7 36 5 28
(167 637)

Arvore 4
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
11 21 3 18
3 27 3 20
12 16 3 24
5 27 4 7
26 31 4 7
4 25 3 25
4 31 3 25
36 43 4 8
25 28 4 9
39 44 3 27
27 39 3 28
9 35 4 11
24 42 4 12
2 38 4 13
21 42 4 15
38 43 4 15
30 33 4 16
13 33 4 18
17 31 4 18
6 13 4 21
23 39 5 4
4 37 4 23
12 40 4 23
19 30 4 23
12 22 5 6
9 27 5 7
14 43 5 11
8 15 5 18
13 18 5 21
6 41 6 4
12 32 5 25
7 9 6 8
(168 617)

Arvore 5
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
11 21 3 18
3 27 3 20
5 27 4 7
26 31 4 7
36 43 4 8
12 16 3 24
25 28 4 9
4 25 3 25
4 31 3 25
9 35 4 11
39 44 3 27
24 42 4 12
27 39 3 28
2 38 4 13
21 42 4 15
38 43 4 15
30 33 4 16
13 33 4 18
17 31 4 18
23 39 5 4
6 13 4 21
12 22 5 6
13 37 5 6
9 27 5 7
4 37 4 23
12 40 4 23
14 43 5 11
8 15 5 18
6 41 6 4
18 25 6 4
7 9 6 8
12 32 5 25
(170 583)

Arvore 6
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
11 21 3 18
3 27 3 20
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
12 16 3 24
9 35 4 11
4 25 3 25
4 31 3 25
24 42 4 12
2 38 4 13
39 44 3 27
27 39 3 28
21 42 4 15
38 43 4 15
30 33 4 16
23 39 5 4
13 33 4 18
17 31 4 18
12 22 5 6
13 37 5 6
9 27 5 7
6 13 4 21
0 37 5 9
29 40 5 9
14 43 5 11
6 41 6 4
18 25 6 4
8 15 5 18
7 9 6 8
12 32 5 25
(172 555)

Arvore 7
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
11 21 3 18
5 27 4 7
26 31 4 7
36 43 4 8
3 27 3 20
25 28 4 9
9 35 4 11
24 42 4 12
12 16 3 24
2 38 4 13
4 25 3 25
4 31 3 25
21 42 4 15
38 43 4 15
39 44 3 27
23 39 5 4
30 33 4 16
27 39 3 28
12 22 5 6
13 37 5 6
13 33 4 18
17 31 4 18
9 27 5 7
0 37 5 9
29 40 5 9
6 13 4 21
14 43 5 11
6 41 6 4
18 25 6 4
15 31 6 5
7 9 6 8
12 32 5 25
(173 542)

Arvore 8
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
5 27 4 7
26 31 4 7
36 43 4 8
11 21 3 18
25 28 4 9
3 27 3 20
9 35 4 11
24 42 4 12
2 38 4 13
23 39 5 4
12 16 3 24
21 42 4 15
38 43 4 15
12 22 5 6
13 37 5 6
4 25 3 25
4 31 3 25
30 33 4 16
9 27 5 7
39 44 3 27
13 33 4 18
17 31 4 18
0 37 5 9
23 34 5 9
29 40 5 9
