Fim da primeira fase ... 
0.01
Fim da segunda fase ... 
49093
490.93
Total: 490.94
Suportadas = 72
Nao suportadas = 271
TOTAL DE SOLUCOES = 343

SUPORTADAS: 

Arvore 1
0 2 0 90
0 1 10 10
34 39 10 12
3 44 10 13
4 25 10 17
1 28 10 19
33 36 10 21
32 45 10 24
5 42 10 25
14 44 10 27
31 39 10 27
0 36 10 28
11 30 10 28
9 32 10 34
26 38 10 38
11 25 10 45
30 35 10 45
25 39 10 47
18 29 10 48
33 46 11 10
12 30 11 11
2 43 11 12
29 32 11 16
40 49 11 16
19 25 11 17
26 40 11 17
30 46 11 17
22 27 11 18
37 47 11 19
40 48 11 20
21 47 11 21
24 29 11 22
34 41 11 22
10 49 11 23
20 25 11 28
3 21 11 31
8 45 11 37
18 37 11 39
23 42 11 40
27 31 11 40
1 14 11 42
2 48 11 46
16 22 11 50
1 6 12 14
34 42 12 21
11 15 12 32
17 35 12 36
5 13 12 48
3 7 14 24
(518 1387)

Arvore 2
0 2 0 90
0 1 10 10
34 39 10 12
3 44 10 13
4 25 10 17
1 28 10 19
33 36 10 21
32 45 10 24
5 42 10 25
14 44 10 27
31 39 10 27
0 36 10 28
11 30 10 28
9 32 10 34
26 38 10 38
33 46 11 10
12 30 11 11
2 43 11 12
11 25 10 45
30 35 10 45
29 32 11 16
40 49 11 16
25 39 10 47
19 25 11 17
26 40 11 17
30 46 11 17
18 29 10 48
22 27 11 18
37 47 11 19
40 48 11 20
21 47 11 21
24 29 11 22
34 41 11 22
10 49 11 23
20 25 11 28
3 21 11 31
8 45 11 37
18 37 11 39
23 42 11 40
27 31 11 40
1 14 11 42
21 49 12 13
1 6 12 14
16 22 11 50
34 42 12 21
11 15 12 32
17 35 12 36
5 13 12 48
3 7 14 24
(519 1354)

Arvore 3
0 2 0 90
0 1 10 10
34 39 10 12
3 44 10 13
4 25 10 17
1 28 10 19
33 36 10 21
32 45 10 24
5 42 10 25
14 44 10 27
31 39 10 27
0 36 10 28
11 30 10 28
9 32 10 34
33 46 11 10
12 30 11 11
26 38 10 38
2 43 11 12
29 32 11 16
40 49 11 16
19 25 11 17
26 40 11 17
30 46 11 17
4 34 11 18
22 27 11 18
11 25 10 45
30 35 10 45
37 47 11 19
40 48 11 20
21 47 11 21
18 29 10 48
24 29 11 22
34 41 11 22
10 49 11 23
20 25 11 28
3 21 11 31
8 45 11 37
18 37 11 39
21 49 12 13
23 42 11 40
27 31 11 40
1 6 12 14
1 14 11 42
16 36 12 21
34 42 12 21
11 15 12 32
17 35 12 36
5 13 12 48
3 7 14 24
(521 1296)

Arvore 4
0 2 0 90
0 1 10 10
34 39 10 12
3 44 10 13
4 25 10 17
1 28 10 19
33 36 10 21
32 45 10 24
5 42 10 25
14 44 10 27
31 39 10 27
0 36 10 28
11 30 10 28
33 46 11 10
12 30 11 11
9 32 10 34
2 43 11 12
26 38 10 38
29 32 11 16
40 49 11 16
19 25 11 17
26 40 11 17
30 46 11 17
4 34 11 18
22 27 11 18
37 47 11 19
40 48 11 20
21 47 11 21
24 29 11 22
34 41 11 22
11 25 10 45
30 35 10 45
10 49 11 23
18 29 10 48
20 25 11 28
3 21 11 31
21 49 12 13
1 6 12 14
8 45 11 37
6 38 12 16
18 37 11 39
23 42 11 40
27 31 11 40
16 36 12 21
34 42 12 21
11 15 12 32
17 35 12 36
5 13 12 48
3 7 14 24
(522 1270)

Arvore 5
0 2 0 90
0 1 10 10
34 39 10 12
3 44 10 13
4 25 10 17
1 28 10 19
33 36 10 21
32 45 10 24
5 42 10 25
14 44 10 27
31 39 10 27
0 36 10 28
11 30 10 28
33 46 11 10
12 30 11 11
2 43 11 12
9 32 10 34
29 32 11 16
40 49 11 16
19 25 11 17
26 40 11 17
30 46 11 17
26 38 10 38
4 34 11 18
22 27 11 18
37 47 11 19
40 48 11 20
21 47 11 21
24 29 11 22
34 41 11 22
10 49 11 23
11 25 10 45
30 35 10 45
18 29 10 48
20 25 11 28
3 21 11 31
21 49 12 13
1 6 12 14
6 38 12 16
8 45 11 37
18 37 11 39
23 42 11 40
27 31 11 40
16 36 12 21
34 42 12 21
11 15 12 32
17 35 12 36
13 18 13 27
3 7 14 24
(523 1249)

Arvore 6
