Fim da primeira fase ... 
0
contador = 10
it = 0
57 88 ( 5518) 
50 174 ( 5518) 
57 89 ( 5525) 
50 175 ( 5525) 
51 168 ( 5562)  dentro de T maisDistante = 57 168

58 84 ( 5576) 
51 170 ( 5576) 
57 97 ( 5581) 
50 183 ( 5581) 
51 171 ( 5583) 
58 85 ( 5583) 
51 173 ( 5597) 
58 87 ( 5597) 
58 88 ( 5604) 
51 174 ( 5604) 
58 89 ( 5611) 
51 176 ( 5618) 
58 90 ( 5618) 
58 90 ( 5618) 
51 176 ( 5618) 
52 164 ( 5620)  dentro de T maisDistante = 57 164

58 91 ( 5625) 
51 177 ( 5625) 
51 179 ( 5639) 
58 93 ( 5639) 
59 81 ( 5641) 
52 167 ( 5641) 
52 167 ( 5641) 
59 82 ( 5648) 
52 168 ( 5648) 
59 83 ( 5655) 
59 83 ( 5655) 
52 169 ( 5655) 
58 96 ( 5660) 
51 182 ( 5660) 
52 170 ( 5662) 
59 84 ( 5662) 
59 84 ( 5662) 
52 170 ( 5662) 
52 170 ( 5662) 
52 170 ( 5662) 
59 84 ( 5662) 
59 85 ( 5669) 
59 85 ( 5669) 
52 171 ( 5669) 
59 85 ( 5669) 
52 171 ( 5669) 
58 98 ( 5674) 
59 86 ( 5676) 
52 172 ( 5676) 
52 172 ( 5676) 
52 172 ( 5676) 
59 86 ( 5676) 
59 86 ( 5676) 
52 172 ( 5676) 
59 86 ( 5676) 
58 99 ( 5681) 
51 185 ( 5681) 
52 173 ( 5683) 
59 87 ( 5683) 
52 173 ( 5683) 
59 87 ( 5683) 
52 173 ( 5683) 
59 87 ( 5683) 
52 174 ( 5690) 
59 88 ( 5690) 
52 174 ( 5690) 
59 88 ( 5690) 
59 88 ( 5690) 
59 88 ( 5690) 
52 174 ( 5690) 
59 89 ( 5697) 
59 89 ( 5697) 
59 89 ( 5697) 
52 175 ( 5697) 
52 175 ( 5697) 
59 89 ( 5697) 
52 175 ( 5697) 
52 175 ( 5697) 
60 77 ( 5699) 
53 163 ( 5699)  dentro de T maisDistante = 57 163

53 163 ( 5699) 
52 176 ( 5704) 
52 176 ( 5704) 
59 90 ( 5704) 
59 90 ( 5704) 
59 90 ( 5704) 
59 90 ( 5704) 
59 90 ( 5704) 
52 176 ( 5704) 
52 176 ( 5704) 
53 164 ( 5706) 
53 164 ( 5706) 
60 78 ( 5706) 
59 91 ( 5711) 
59 91 ( 5711) 
52 177 ( 5711) 
59 91 ( 5711) 
52 177 ( 5711) 
59 91 ( 5711) 
59 91 ( 5711) 
53 165 ( 5713) 
60 79 ( 5713) 
59 92 ( 5718) 
52 178 ( 5718) 
52 178 ( 5718) 
59 92 ( 5718) 
52 178 ( 5718) 
59 92 ( 5718) 
52 178 ( 5718) 
59 92 ( 5718) 
60 80 ( 5720) 
53 166 ( 5720) 
53 166 ( 5720) 
53 166 ( 5720) 
59 93 ( 5725) 
52 179 ( 5725) 
59 93 ( 5725) 
52 179 ( 5725) 
60 81 ( 5727) 
53 167 ( 5727) 
60 81 ( 5727) 
53 167 ( 5727) 
53 167 ( 5727) 
59 94 ( 5732) 
52 180 ( 5732) 
59 94 ( 5732) 
59 94 ( 5732) 
52 180 ( 5732) 
60 82 ( 5734) 
60 82 ( 5734) 
53 168 ( 5734) 
53 168 ( 5734) 
53 168 ( 5734) 
60 82 ( 5734) 
53 168 ( 5734) 
53 168 ( 5734) 
60 82 ( 5734) 
60 82 ( 5734) 
59 95 ( 5739) 
52 181 ( 5739) 
59 95 ( 5739) 
52 181 ( 5739) 
60 83 ( 5741) 
60 83 ( 5741) 
53 169 ( 5741) 
53 169 ( 5741) 
60 83 ( 5741) 
53 169 ( 5741) 
53 169 ( 5741) 
60 83 ( 5741) 
60 83 ( 5741) 
53 169 ( 5741) 
53 169 ( 5741) 
59 96 ( 5746) 
52 182 ( 5746) 
53 170 ( 5748) 
53 170 ( 5748) 
53 170 ( 5748) 
60 84 ( 5748) 
53 170 ( 5748) 
60 84 ( 5748) 
53 170 ( 5748) 
53 170 ( 5748) 
53 170 ( 5748) 
60 84 ( 5748) 
60 84 ( 5748) 
60 84 ( 5748) 
60 84 ( 5748) 
59 97 ( 5753) 
59 97 ( 5753) 
52 183 ( 5753) 
59 97 ( 5753) 
52 183 ( 5753) 
53 171 ( 5755) 
60 85 ( 5755) 
53 171 ( 5755) 
53 171 ( 5755) 
60 85 ( 5755) 
60 85 ( 5755) 
60 85 ( 5755) 
60 85 ( 5755) 
53 171 ( 5755) 
53 171 ( 5755) 
60 85 ( 5755) 
60 85 ( 5755) 
60 85 ( 5755) 
53 171 ( 5755) 
59 98 ( 5760) 
52 184 ( 5760) 
60 86 ( 5762) 
60 86 ( 5762) 
53 172 ( 5762) 
53 172 ( 5762) 
60 86 ( 5762) 
53 172 ( 5762) 
53 172 ( 5762) 
60 86 ( 5762) 
53 172 ( 5762) 
60 86 ( 5762) 
60 86 ( 5762) 
53 172 ( 5762) 
60 86 ( 5762) 
60 86 ( 5762) 
53 172 ( 5762) 
60 86 ( 5762) 
60 86 ( 5762) 
53 172 ( 5762) 
59 99 ( 5767) 
59 99 ( 5767) 
52 185 ( 5767) 
60 87 ( 5769) 
53 173 ( 5769) 
53 173 ( 5769) 
60 87 ( 5769) 
53 173 ( 5769) 
60 87 ( 5769) 
60 87 ( 5769) 
60 87 ( 5769) 
53 173 ( 5769) 
53 173 ( 5769) 
60 87 ( 5769) 
53 173 ( 5769) 
60 87 ( 5769) 
60 87 ( 5769) 
60 87 ( 5769) 
54 161 ( 5771)  dentro de T maisDistante = 57 161

52 186 ( 5774) 
59 100 ( 5774) 
59 100 ( 5774) 
60 88 ( 5776) 
53 174 ( 5776) 
60 88 ( 5776) 
53 174 ( 5776) 
60 88 ( 5776) 
60 88 ( 5776) 
53 174 ( 5776) 
60 88 ( 5776) 
53 174 ( 5776) 
60 88 ( 5776) 
53 174 ( 5776) 
60 88 ( 5776) 
53 174 ( 5776) 
54 162 ( 5778) 
54 162 ( 5778) 
54 162 ( 5778) 
61 76 ( 5778) 
60 89 ( 5783) 
53 175 ( 5783) 
53 175 ( 5783) 
60 89 ( 5783) 
60 89 ( 5783) 
60 89 ( 5783) 
53 175 ( 5783) 
60 89 ( 5783) 
53 175 ( 5783) 
53 175 ( 5783) 
60 89 ( 5783) 
60 89 ( 5783) 
60 89 ( 5783) 
53 175 ( 5783) 
60 89 ( 5783) 
60 89 ( 5783) 
60 89 ( 5783) 
53 175 ( 5783) 
53 175 ( 5783) 
54 163 ( 5785) 
54 163 ( 5785) 
61 77 ( 5785) 
61 77 ( 5785) 
54 163 ( 5785) 
54 163 ( 5785) 
52 188 ( 5788) 
59 102 ( 5788) 
60 90 ( 5790) 
53 176 ( 5790) 
60 90 ( 5790) 
53 176 ( 5790) 
60 90 ( 5790) 
53 176 ( 5790) 
60 90 ( 5790) 
60 90 ( 5790) 
60 90 ( 5790) 
53 176 ( 5790) 
53 176 ( 5790) 
60 90 ( 5790) 
53 176 ( 5790) 
60 90 ( 5790) 
60 90 ( 5790) 
61 78 ( 5792) 
61 78 ( 5792) 
61 78 ( 5792) 
54 164 ( 5792) 
54 164 ( 5792) 
54 164 ( 5792) 
60 91 ( 5797) 
60 91 ( 5797) 
53 177 ( 5797) 
53 177 ( 5797) 
60 91 ( 5797) 
60 91 ( 5797) 
60 91 ( 5797) 
60 91 ( 5797) 
53 177 ( 5797) 
60 91 ( 5797) 
60 91 ( 5797) 
53 177 ( 5797) 
53 177 ( 5797) 
61 79 ( 5799) 
54 165 ( 5799) 
54 165 ( 5799) 
61 79 ( 5799) 
54 165 ( 5799) 
60 92 ( 5804) 
53 178 ( 5804) 
53 178 ( 5804) 
60 92 ( 5804) 
60 92 ( 5804) 
60 92 ( 5804) 
53 178 ( 5804) 
53 178 ( 5804) 
53 178 ( 5804) 
60 92 ( 5804) 
60 92 ( 5804) 
60 92 ( 5804) 
60 92 ( 5804) 
53 178 ( 5804) 
53 178 ( 5804) 
53 178 ( 5804) 
60 92 ( 5804) 
60 92 ( 5804) 
53 178 ( 5804) 
54 166 ( 5806) 
54 166 ( 5806) 
54 166 ( 5806) 
61 80 ( 5806) 
54 166 ( 5806) 
54 166 ( 5806) 
61 80 ( 5806) 
54 166 ( 5806) 
61 80 ( 5806) 
53 179 ( 5811) 
60 93 ( 5811) 
53 179 ( 5811) 
53 179 ( 5811) 
60 93 ( 5811) 
60 93 ( 5811) 
53 179 ( 5811) 
60 93 ( 5811) 
60 93 ( 5811) 
60 93 ( 5811) 
53 179 ( 5811) 
60 93 ( 5811) 
60 93 ( 5811) 
60 93 ( 5811) 
61 81 ( 5813) 
61 81 ( 5813) 
61 81 ( 5813) 
54 167 ( 5813) 
54 167 ( 5813) 
54 167 ( 5813) 
61 81 ( 5813) 
61 81 ( 5813) 
54 167 ( 5813) 
54 167 ( 5813) 
54 167 ( 5813) 
61 81 ( 5813) 
60 94 ( 5818) 
60 94 ( 5818) 
53 180 ( 5818) 
60 94 ( 5818) 
60 94 ( 5818) 
53 180 ( 5818) 
61 82 ( 5820) 
54 168 ( 5820) 
54 168 ( 5820) 
54 168 ( 5820) 
54 168 ( 5820) 
61 82 ( 5820) 
61 82 ( 5820) 
61 82 ( 5820) 
54 168 ( 5820) 
54 168 ( 5820) 
61 82 ( 5820) 
54 168 ( 5820) 
54 168 ( 5820) 
61 82 ( 5820) 
54 168 ( 5820) 
61 82 ( 5820) 
61 82 ( 5820) 
60 95 ( 5825) 
53 181 ( 5825) 
60 95 ( 5825) 
60 95 ( 5825) 
53 181 ( 5825) 
60 95 ( 5825) 
53 181 ( 5825) 
53 181 ( 5825) 
60 95 ( 5825) 
60 95 ( 5825) 
53 181 ( 5825) 
60 95 ( 5825) 
60 95 ( 5825) 
61 83 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
61 83 ( 5827) 
54 169 ( 5827) 
60 96 ( 5832) 
53 182 ( 5832) 
60 96 ( 5832) 
60 96 ( 5832) 
