RESULTADO AO FIM DE 1H
Arvore 1
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
9 14 6 20 14
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(121, 255, 236)

Arvore 2
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 9 13 15 14
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(128, 250, 236)

RESULTADO AO FIM DE 2H
Arvore 1
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
9 14 6 20 14
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(121, 255, 236)

Arvore 2
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 9 13 15 14
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(128, 250, 236)

Arvore 3
0 5 11 17 14
1 5 9 15 8
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 9 13 15 14
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
9 14 6 20 14
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(123, 253, 237)

RESULTADO AO FIM DE 3H
TEMPO LIMITE ATINGIDO...
Arvore 1
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
9 14 6 20 14
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(121, 255, 236)

Arvore 2
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 9 13 15 14
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(128, 250, 236)

Arvore 3
0 5 11 17 14
1 5 9 15 8
2 14 10 23 23
3 4 19 29 20
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 9 13 15 14
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
9 14 6 20 14
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(123, 253, 237)

Arvore 4
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 19 14 22 23
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
9 14 6 20 14
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(116, 248, 239)

Arvore 5
0 5 11 17 14
1 5 9 15 8
1 14 11 17 13
2 14 10 23 23
3 19 14 22 23
4 15 8 13 10
5 11 3 15 3
6 8 1 13 9
6 9 13 15 14
6 13 6 8 17
6 17 7 8 10
6 18 3 7 9
7 11 3 16 8
8 12 1 5 15
10 18 5 4 11
11 17 10 12 11
12 16 7 14 18
14 15 1 14 11
17 19 0 5 12
(123, 243, 239)

