RESULTADO AO FIM DE 1H
Arvore 1
0 2 32 31 10
0 6 26 22 15
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 15 72 90 14
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
13 16 56 73 12
15 17 59 18 16
(542, 768, 238)

Arvore 2
0 2 32 31 10
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 15 72 90 14
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(528, 794, 238)

Arvore 3
0 2 32 31 10
0 6 26 22 15
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(482, 726, 239)

RESULTADO AO FIM DE 2H
Arvore 1
0 2 32 31 10
0 6 26 22 15
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 15 72 90 14
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
13 16 56 73 12
15 17 59 18 16
(542, 768, 238)

Arvore 2
0 2 32 31 10
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 15 72 90 14
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(528, 794, 238)

Arvore 3
0 2 32 31 10
0 6 26 22 15
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(482, 726, 239)

Arvore 4
0 2 32 31 10
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 18 10 44 17
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(466, 748, 241)

RESULTADO AO FIM DE 3H
TEMPO LIMITE ATINGIDO...
Arvore 1
0 2 32 31 10
0 6 26 22 15
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 15 72 90 14
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
13 16 56 73 12
15 17 59 18 16
(542, 768, 238)

Arvore 2
0 2 32 31 10
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 15 72 90 14
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(528, 794, 238)

Arvore 3
0 2 32 31 10
0 6 26 22 15
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(482, 726, 239)

Arvore 4
0 2 32 31 10
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 18 10 44 17
7 11 4 25 16
8 18 44 37 14
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(466, 748, 241)

Arvore 5
0 2 32 31 10
0 6 26 22 15
0 10 6 77 7
1 2 26 13 9
1 8 8 34 3
2 3 31 43 6
2 5 0 60 9
4 5 41 50 12
5 11 53 42 18
6 18 10 44 17
7 11 4 25 16
9 12 49 14 18
9 14 2 57 8
9 17 4 41 17
9 19 25 25 18
10 13 4 16 16
10 15 12 48 15
13 16 56 73 12
15 17 59 18 16
(448, 733, 242)

